danh_muc,ten_mon,mo_ta,size,gia,tuy_chon_duong,tuy_chon_da,topping_co_san
Trà sữa classic,Trà sữa truyền thống,Trà đen pha sữa đặc béo ngậy,S (350ml),29000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường/Nhiều đá,"Trân châu đen +7k, Trân châu trắng +7k, Thạch phô mai +8k, Pudding trứng +8k"
Trà sữa classic,Trà sữa truyền thống,Trà đen pha sữa đặc béo ngậy,M (500ml),35000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường/Nhiều đá,"Trân châu đen +7k, Trân châu trắng +7k, Thạch phô mai +8k, Pudding trứng +8k"
Trà sữa classic,Trà sữa truyền thống,Trà đen pha sữa đặc béo ngậy,L (700ml),42000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường/Nhiều đá,"Trân châu đen +7k, Trân châu trắng +7k, Thạch phô mai +8k, Pudding trứng +8k"
Trà sữa classic,Trà sữa matcha,Matcha Nhật kết hợp sữa tươi,S (350ml),32000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường/Nhiều đá,"Trân châu đen +7k, Trân châu trắng +7k, Thạch phô mai +8k, Pudding trứng +8k"
Trà sữa classic,Trà sữa matcha,Matcha Nhật kết hợp sữa tươi,M (500ml),38000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường/Nhiều đá,"Trân châu đen +7k, Trân châu trắng +7k, Thạch phô mai +8k, Pudding trứng +8k"
Trà sữa classic,Trà sữa matcha,Matcha Nhật kết hợp sữa tươi,L (700ml),45000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường/Nhiều đá,"Trân châu đen +7k, Trân châu trắng +7k, Thạch phô mai +8k, Pudding trứng +8k"
Trà sữa classic,Trà sữa khoai môn,Khoai môn tím thơm béo,S (350ml),32000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường/Nhiều đá,"Trân châu đen +7k, Trân châu trắng +7k, Thạch phô mai +8k, Pudding trứng +8k"
Trà sữa classic,Trà sữa khoai môn,Khoai môn tím thơm béo,M (500ml),38000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường/Nhiều đá,"Trân châu đen +7k, Trân châu trắng +7k, Thạch phô mai +8k, Pudding trứng +8k"
Trà sữa classic,Trà sữa khoai môn,Khoai môn tím thơm béo,L (700ml),45000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường/Nhiều đá,"Trân châu đen +7k, Trân châu trắng +7k, Thạch phô mai +8k, Pudding trứng +8k"
Trà sữa classic,Trà sữa dâu,Dâu tây tươi kết hợp sữa,S (350ml),33000,0%/30%/50%/70%/100%,Không đá/Ít đá/Bình thường/Nhiều đá,"Trân châu đen +7k, Trân châu trắng +7k, Thạch phô mai +8k, Pudding trứng +8k"
